state,scode,year,staffsize,staffstep,myear,chambersize,change,populationofstate,statyr,personalstaff
Alabama,1,1967,,370,0,105,0,3458000,196701,
Alabama,1,1968,,370,0,105,0,3446000,196801,
Alabama,1,1969,,370,0,105,0,3440000,196901,
Alabama,1,1970,,370,0,105,0,3444354,197001,
Alabama,1,1971,,370,0,105,0,3497076,197101,
Alabama,1,1972,,370,0,105,0,3539400,197201,
Alabama,1,1973,,370,0,105,0,3579780,197301,
Alabama,1,1974,,370,0,105,0,3626499,197401,
Alabama,1,1975,,370,0,105,0,3678814,197501,
Alabama,1,1976,,370,0,105,0,3735139,197601,
Alabama,1,1977,,370,0,105,0,3780403,197701,
Alabama,1,1978,,370,0,105,0,3831836,197801,0
Alabama,1,1979,370,370,1,105,0,3866248,197901,0
Alabama,1,1980,,370,0,105,0,3893888,198001,0
Alabama,1,1981,,370,0,105,0,3918531,198101,0
Alabama,1,1982,,370,0,105,0,3925266,198201,0
Alabama,1,1983,,370,0,105,0,3934102,198301,0
Alabama,1,1984,,416,0,105,1,3951820,198401,1
Alabama,1,1985,,416,0,105,1,3972523,198501,1
Alabama,1,1986,,416,0,105,1,3991569,198601,0
Alabama,1,1987,,416,0,105,1,4015264,198701,0
Alabama,1,1988,416,416,1,105,1,4023844,198801,1
Alabama,1,1989,,416,0,105,1,4030222,198901,1
Alabama,1,1990,,416,0,105,1,4040587,199001,0
Alabama,1,1991,,416,0,105,1,4099156,199101,0
Alabama,1,1992,,414,0,105,1,4154014,199201,0
Alabama,1,1993,,414,0,105,-1,4214202,199301,0
Alabama,1,1994,,414,0,105,-1,4260229,199401,0
Alabama,1,1995,,414,0,105,-1,4296800,199501,0
Alabama,1,1996,414,414,1,105,-1,4331102,199601,0
Alabama,1,1997,,414,0,105,-1,4367935,199701,0
Alabama,1,1998,,414,0,105,-1,4404701,199801,0
Alabama,1,1999,,414,0,105,-1,4430141,199901,0
Alabama,1,2000,,496,0,105,1,4447100,200001,0
Alabama,1,2001,,496,0,105,1,4467634,200101,0
Alabama,1,2002,,496,0,105,1,4480089,200201,0
Alabama,1,2003,496,496,1,105,1,4503491,200301,0
Alabama,1,2004,,496,0,105,1,4530729,200401,0
Alabama,1,2005,,496,0,105,1,4569805,200501,0
Alabama,1,2006,,496,0,105,1,4628981,200601,0
Alabama,1,2007,,550,0,105,1,4672840,200701,0
Alabama,1,2008,,550,0,105,1,4718206,200801,0
Alabama,1,2009,550,550,1,105,1,4757938,200901,0
Alabama,1,2010,,550,0,105,1,4785298,201001,0
Alabama,1,2011,,,NA,105,NA,4799918,201101,0
Alabama,1,2012,,,NA,105,NA,4815960,201201,0
Alabama,1,2013,,,NA,105,NA,4829479,201301,0
Alabama,1,2014,,,NA,105,NA,4843214,201401,0
Alabama,1,2015,,408,1,105,NA,4853875,201501,1
Alaska,2,1967,,276,0,40,0,278000,196702,
Alaska,2,1968,,276,0,40,0,285000,196802,
Alaska,2,1969,,276,0,40,0,296000,196902,
Alaska,2,1970,,276,0,40,0,302583,197002,
Alaska,2,1971,,276,0,40,0,315510,197102,
Alaska,2,1972,,276,0,40,0,324464,197202,
Alaska,2,1973,,276,0,40,0,330543,197302,
Alaska,2,1974,,276,0,40,0,341063,197402,
